Date,City,Temperature (°C),Max Temperature (°C),Min Temperature (°C),Precipitation (mm),Wind Speed (m/s),Max Wind Speed (m/s),Min Wind Speed (m/s),Estimated Solar Energy Consumption (kWh)
2014-01-01,Toronto,-8.55,-7.59,-9.48,0.6,5.64,9.39,2.76,2.0808000000000008e-05
2014-01-01,Vancouver,-12.79,-9.74,-14.29,3.05,10.02,10.67,8.67,6.0500000000000005e-06
2014-01-01,Montreal,-14.31,-8.32,-17.98,0.62,5.47,8.85,2.9,7.605e-05
2014-01-01,Calgary,-2.68,0.19,-6.99,0.82,11.08,13.52,6.71,4.7432e-05
2014-01-01,Ottawa,0.31,2.14,-0.47,5.82,4.7,7.99,2.57,5.4080000000000006e-06
2014-01-01,Edmonton,-6.22,3.2,-16.0,4.95,12.86,16.89,4.92,3.2768000000000016e-05
2014-01-01,Quebec City,-16.78,-14.68,-19.17,0.57,14.66,16.68,11.65,4.805000000000001e-05
2014-01-01,Winnipeg,-9.87,-6.87,-14.52,0.46,7.96,11.12,6.72,5.3138e-05
2014-01-01,Hamilton,-8.05,-5.08,-10.36,0.17,3.76,6.44,2.69,7.3728e-05
2014-01-01,Halifax,-0.71,2.09,-4.7,2.45,3.73,4.75,2.72,1.2482000000000002e-05
2014-01-02,Toronto,2.87,4.38,1.7,9.58,7.81,11.12,4.36,1.3520000000000001e-06
2014-01-02,Vancouver,0.33,1.88,-0.99,1.4,7.59,10.91,5.79,2.1218e-05
2014-01-02,Montreal,2.53,4.87,-0.64,0.58,7.47,8.79,6.36,2.1632000000000002e-05
2014-01-02,Calgary,1.44,2.91,-0.91,0.73,3.93,6.27,2.06,6.845000000000001e-05
2014-01-02,Ottawa,-1.37,0.31,-4.34,0.17,8.57,13.22,4.73,3.2258e-05
2014-01-02,Edmonton,-2.24,-0.82,-4.36,0.33,5.76,7.48,3.99,4.5602e-05
2014-01-02,Quebec City,-0.34,1.29,-1.48,0.97,5.99,10.76,1.47,3.3799999999999995e-05
2014-01-02,Winnipeg,-3.89,-1.94,-6.01,0.73,7.39,8.26,2.98,3.8642e-05
2014-01-02,Hamilton,-3.48,-1.3,-5.8,0.31,11.17,15.85,7.08,1.2800000000000001e-05
2014-01-02,Halifax,-6.89,-1.26,-12.59,0.55,7.22,9.82,4.78,3.2258e-05
2014-01-03,Toronto,-14.55,-12.91,-16.5,0.22,5.15,5.9,4.1,7.22e-05
2014-01-03,Vancouver,-15.11,-12.38,-18.1,0.2,2.71,4.03,1.3,6.5522e-05
2014-01-03,Montreal,-13.57,-12.03,-16.36,0.79,4.45,8.41,0.39,6.48e-05
2014-01-03,Calgary,-10.89,-7.03,-16.45,0.34,12.0,16.47,4.26,2.88e-05
2014-01-03,Ottawa,-6.29,-2.63,-10.89,1.84,12.52,15.65,8.65,2.645e-05
2014-01-03,Edmonton,-8.91,-3.0,-12.2,0.61,8.05,10.54,6.55,2.8322e-05
2014-01-03,Quebec City,-8.92,-3.3,-13.79,1.89,10.78,14.52,7.05,7.605e-05
2014-01-03,Winnipeg,-13.0,-11.05,-15.55,0.18,10.98,11.99,9.71,7.449799999999999e-05
2014-01-03,Hamilton,-10.42,-7.62,-13.47,0.14,11.97,14.13,9.37,6.408200000000001e-05
2014-01-03,Halifax,-4.47,-1.12,-8.14,0.25,10.3,12.72,8.36,7.22e-05
2014-01-04,Toronto,-1.0,0.52,-1.73,0.04,6.31,13.15,2.44,4.2632e-05
2014-01-04,Vancouver,-0.4,0.93,-2.36,7.3,4.59,7.64,2.77,6.272000000000002e-06
2014-01-04,Montreal,-2.21,0.81,-4.95,2.84,5.0,6.51,3.58,1.9601999999999996e-05
2014-01-04,Calgary,-5.55,-4.31,-7.62,1.44,3.5,4.15,2.82,0.0001152
2014-01-04,Ottawa,-6.33,-4.1,-9.16,0.38,2.84,5.26,0.72,7.22e-05
