Date,City,Solar Irradiance (W/m²),Sunlight Hours,Temperature (°C),Max Temperature (°C),Min Temperature (°C),Precipitation (mm),Wind Speed (m/s),Max Wind Speed (m/s),Min Wind Speed (m/s)
2014-01-01,Toronto,1.02,0.0051,-8.55,-7.59,-9.48,0.6,5.64,9.39,2.76
2014-01-01,Vancouver,0.55,0.0027500000000000003,-12.79,-9.74,-14.29,3.05,10.02,10.67,8.67
2014-01-01,Montreal,1.95,0.00975,-14.31,-8.32,-17.98,0.62,5.47,8.85,2.9
2014-01-01,Calgary,1.54,0.0077,-2.68,0.19,-6.99,0.82,11.08,13.52,6.71
2014-01-01,Ottawa,0.52,0.0026000000000000003,0.31,2.14,-0.47,5.82,4.7,7.99,2.57
2014-01-01,Edmonton,1.28,0.0064,-6.22,3.2,-16.0,4.95,12.86,16.89,4.92
2014-01-01,Quebec City,1.55,0.00775,-16.78,-14.68,-19.17,0.57,14.66,16.68,11.65
2014-01-01,Winnipeg,1.63,0.00815,-9.87,-6.87,-14.52,0.46,7.96,11.12,6.72
2014-01-01,Hamilton,1.92,0.0096,-8.05,-5.08,-10.36,0.17,3.76,6.44,2.69
2014-01-01,Halifax,0.79,0.00395,-0.71,2.09,-4.7,2.45,3.73,4.75,2.72
2014-01-02,Toronto,0.26,0.0013000000000000002,2.87,4.38,1.7,9.58,7.81,11.12,4.36
2014-01-02,Vancouver,1.03,0.00515,0.33,1.88,-0.99,1.4,7.59,10.91,5.79
2014-01-02,Montreal,1.04,0.005200000000000001,2.53,4.87,-0.64,0.58,7.47,8.79,6.36
2014-01-02,Calgary,1.85,0.009250000000000001,1.44,2.91,-0.91,0.73,3.93,6.27,2.06
2014-01-02,Ottawa,1.27,0.006350000000000001,-1.37,0.31,-4.34,0.17,8.57,13.22,4.73
2014-01-02,Edmonton,1.51,0.00755,-2.24,-0.82,-4.36,0.33,5.76,7.48,3.99
2014-01-02,Quebec City,1.3,0.0065,-0.34,1.29,-1.48,0.97,5.99,10.76,1.47
2014-01-02,Winnipeg,1.39,0.00695,-3.89,-1.94,-6.01,0.73,7.39,8.26,2.98
2014-01-02,Hamilton,0.8,0.004,-3.48,-1.3,-5.8,0.31,11.17,15.85,7.08
2014-01-02,Halifax,1.27,0.006350000000000001,-6.89,-1.26,-12.59,0.55,7.22,9.82,4.78
