Date,City,Temperature (°C),Max Temperature (°C),Min Temperature (°C),Precipitation (mm),Wind Speed (m/s),Max Wind Speed (m/s),Min Wind Speed (m/s),Estimated Solar Energy Consumption (kWh),Year,Month
2014-01-01,Vancouver,-12.79,-9.74,-14.29,3.05,10.02,10.67,8.67,6.0500000000000005e-06,2014,1
2014-01-01,Calgary,-2.68,0.19,-6.99,0.82,11.08,13.52,6.71,4.7432e-05,2014,1
2014-01-01,Edmonton,-6.22,3.2,-16.0,4.95,12.86,16.89,4.92,3.2768000000000016e-05,2014,1
2014-01-01,Quebec City,-16.78,-14.68,-19.17,0.57,14.66,16.68,11.65,4.805000000000001e-05,2014,1
2014-01-01,Winnipeg,-9.87,-6.87,-14.52,0.46,7.96,11.12,6.72,5.3138e-05,2014,1
2014-01-02,Hamilton,-3.48,-1.3,-5.8,0.31,11.17,15.85,7.08,1.28e-05,2014,1
2014-01-03,Calgary,-10.89,-7.03,-16.45,0.34,12.0,16.47,4.26,2.88e-05,2014,1
2014-01-03,Ottawa,-6.29,-2.63,-10.89,1.84,12.52,15.65,8.65,2.645e-05,2014,1
2014-01-03,Edmonton,-8.91,-3.0,-12.2,0.61,8.05,10.54,6.55,2.8322e-05,2014,1
2014-01-03,Quebec City,-8.92,-3.3,-13.79,1.89,10.78,14.52,7.05,7.605e-05,2014,1
2014-01-03,Winnipeg,-13.0,-11.05,-15.55,0.18,10.98,11.99,9.71,7.449799999999999e-05,2014,1
2014-01-03,Hamilton,-10.42,-7.62,-13.47,0.14,11.97,14.13,9.37,6.408200000000001e-05,2014,1
2014-01-03,Halifax,-4.47,-1.12,-8.14,0.25,10.3,12.72,8.36,7.22e-05,2014,1
2014-01-04,Winnipeg,-10.16,-8.03,-11.82,0.2,10.66,11.57,9.34,6.265800000000001e-05,2014,1
2014-01-06,Vancouver,1.82,3.19,-0.44,9.5,10.29,13.97,4.64,6.845000000000001e-05,2014,1
2014-01-06,Montreal,-0.23,1.41,-2.22,0.89,11.15,14.86,6.88,0.000270848,2014,1
2014-01-06,Quebec City,-11.04,-9.3,-12.96,0.13,9.08,11.68,7.31,0.00015125,2014,1
2014-01-06,Winnipeg,-10.92,-7.75,-14.89,0.26,11.02,13.91,8.22,0.0001812019999999,2014,1
2014-01-08,Toronto,-3.96,1.1,-10.65,5.08,9.94,14.07,3.31,7.441999999999999e-06,2014,1
2014-01-08,Calgary,-0.4,2.81,-6.27,0.91,8.73,11.08,6.87,0.000144722,2014,1
2014-01-21,Hamilton,17.24,18.78,14.52,21.48,7.78,11.23,5.29,0.0003784499999999,2014,1
2014-01-26,Montreal,20.85,22.42,18.63,9.9,5.97,14.66,1.64,0.000144722,2014,1
2014-01-28,Winnipeg,11.07,12.91,8.74,1.24,8.62,9.72,7.55,0.00015125,2014,1
2014-01-30,Toronto,10.04,12.4,6.54,1.51,7.99,9.49,6.69,5.7122e-05,2014,1
2014-01-31,Ottawa,3.92,5.01,2.15,1.58,9.06,10.0,7.59,2.7378000000000005e-05,2014,1
2014-02-01,Edmonton,4.3,7.99,2.21,0.39,9.2,10.75,7.29,2.5088000000000008e-05,2014,2
2014-02-02,Vancouver,-3.7,-2.91,-4.69,0.7,14.87,16.14,12.67,0.000117128,2014,2
2014-02-02,Montreal,-2.04,1.7,-4.47,1.44,10.41,13.64,8.49,2.5537999999999995e-05,2014,2
2014-02-02,Calgary,-1.81,-0.8,-2.83,1.3,11.69,13.22,10.05,7.3728e-05,2014,2
2014-02-02,Edmonton,3.16,6.29,-1.17,2.48,9.95,10.92,7.18,3.2000000000000003e-06,2014,2
2014-02-02,Winnipeg,9.67,14.01,5.04,12.75,13.59,19.11,6.91,2.0808000000000008e-05,2014,2
2014-02-02,Hamilton,2.94,4.81,1.0,2.63,11.07,14.76,5.87,5.618000000000001e-06,2014,2
2014-02-03,Quebec City,2.28,3.36,0.73,0.61,9.17,12.03,6.79,1.0368e-05,2014,2
2014-02-04,Calgary,-0.47,1.56,-1.71,2.25,9.26,10.34,8.21,4.5602e-05,2014,2
2014-02-05,Winnipeg,6.59,8.99,5.53,5.36,4.47,17.19,2.06,2.312e-06,2014,2
2014-02-05,Hamilton,3.75,5.42,2.04,0.93,11.5,16.77,7.44,1.4792e-05,2014,2
2014-02-06,Ottawa,-5.06,-4.34,-5.68,0.24,10.47,12.64,9.13,6.265800000000001e-05,2014,2
2014-02-06,Edmonton,-3.17,-1.25,-5.66,0.17,12.78,14.11,11.36,1.0952e-05,2014,2
2014-02-06,Halifax,-7.99,-4.34,-10.25,3.24,11.09,13.08,7.51,5.12e-05,2014,2
2014-02-07,Vancouver,-11.49,-7.59,-13.71,0.54,10.68,12.89,6.81,4.8672e-05,2014,2
2014-02-07,Montreal,-9.29,-6.89,-11.53,0.78,12.83,14.05,9.74,2.8322e-05,2014,2
2014-02-07,Calgary,-7.1,-5.3,-10.3,1.07,12.54,14.04,11.15,5.2488000000000017e-05,2014,2
2014-02-07,Ottawa,-9.63,-7.8,-11.63,0.27,11.43,12.6,9.39,6.265800000000001e-05,2014,2
2014-02-09,Toronto,-6.32,-5.54,-6.93,1.29,8.96,9.81,6.55,6.48e-05,2014,2
2014-02-09,Quebec City,-6.83,-3.51,-9.23,2.55,8.52,14.01,5.75,1.0368e-05,2014,2
2014-02-09,Winnipeg,-11.74,-9.42,-13.88,6.0,10.2,14.44,5.32,5.4449999999999995e-05,2014,2
2014-02-10,Vancouver,-6.39,-3.76,-9.85,2.22,9.42,12.76,6.76,9.4178e-05,2014,2
2014-02-10,Calgary,-7.27,-4.96,-9.02,2.23,9.49,10.15,8.93,2.888000000000001e-06,2014,2
2014-02-10,Halifax,-9.14,-5.41,-15.66,1.24,9.63,13.71,6.24,5.056200000000001e-05,2014,2
2014-02-11,Toronto,-19.71,-16.71,-22.34,0.34,9.66,14.28,5.96,0.000118098,2014,2
2014-02-11,Ottawa,-16.15,-11.42,-19.32,0.63,8.93,10.47,7.65,0.000193442,2014,2
2014-02-11,Halifax,-11.04,-6.85,-17.56,0.56,10.64,13.05,6.86,0.000137288,2014,2
2014-02-16,Ottawa,7.97,11.13,2.17,4.1,10.35,15.56,6.51,0.0001884979999999,2014,2
2014-02-17,Calgary,5.3,7.24,2.48,1.54,8.17,10.31,6.63,0.000746642,2014,2
2014-02-21,Edmonton,8.6,11.05,7.89,18.35,8.06,9.02,6.46,6.48e-05,2014,2
2014-03-03,Halifax,15.81,16.19,15.45,20.61,7.65,9.95,6.43,6.821120000000002e-05,2014,3
2014-03-05,Winnipeg,14.97,17.11,12.58,4.36,8.96,10.82,7.08,0.00042632,2014,3
2014-03-05,Hamilton,12.85,15.69,10.35,0.16,9.33,10.62,7.9,0.00073728,2014,3
2014-03-05,Halifax,11.88,13.1,10.13,0.44,10.96,13.08,9.98,0.0002765952,2014,3
2014-03-06,Toronto,11.76,13.02,10.6,1.07,12.31,13.84,9.7,9.68832e-05,2014,3
2014-03-06,Hamilton,16.46,20.03,13.8,0.31,8.87,10.85,7.53,0.0005698687999999,2014,3
2014-03-07,Toronto,15.27,16.83,12.88,1.98,9.11,10.7,7.33,0.0001827872,2014,3
2014-03-08,Edmonton,12.52,15.98,10.13,27.27,7.78,11.32,4.19,1.2700800000000002e-05,2014,3
2014-03-08,Quebec City,9.05,13.03,7.58,6.87,11.72,13.96,7.53,0.0001562912,2014,3
