Date,City,Solar Irradiance (W/m²),Sunlight Hours
2014-01-01,Toronto,1.02,0.0051
2014-01-01,Vancouver,0.55,0.0027500000000000003
2014-01-01,Montreal,1.95,0.00975
2014-01-01,Calgary,1.54,0.0077
2014-01-01,Ottawa,0.52,0.0026000000000000003
2014-01-01,Edmonton,1.28,0.0064
2014-01-01,Quebec City,1.55,0.00775
2014-01-01,Winnipeg,1.63,0.00815
2014-01-01,Hamilton,1.92,0.0096
2014-01-01,Halifax,0.79,0.00395
2014-01-02,Toronto,0.26,0.0013000000000000002
2014-01-02,Vancouver,1.03,0.00515
2014-01-02,Montreal,1.04,0.005200000000000001
2014-01-02,Calgary,1.85,0.009250000000000001
2014-01-02,Ottawa,1.27,0.006350000000000001
2014-01-02,Edmonton,1.51,0.00755
2014-01-02,Quebec City,1.3,0.0065
2014-01-02,Winnipeg,1.39,0.00695
2014-01-02,Hamilton,0.8,0.004
2014-01-02,Halifax,1.27,0.006350000000000001
2014-01-03,Toronto,1.9,0.0095
2014-01-03,Vancouver,1.81,0.009049999999999999
2014-01-03,Montreal,1.8,0.009
2014-01-03,Calgary,1.2,0.005999999999999999
2014-01-03,Ottawa,1.15,0.00575
2014-01-03,Edmonton,1.19,0.0059499999999999996
2014-01-03,Quebec City,1.95,0.00975
2014-01-03,Winnipeg,1.93,0.009649999999999999
2014-01-03,Hamilton,1.79,0.008950000000000001
2014-01-03,Halifax,1.9,0.0095
2014-01-04,Toronto,1.46,0.007299999999999999
2014-01-04,Vancouver,0.56,0.0028000000000000004
2014-01-04,Montreal,0.99,0.0049499999999999995
2014-01-04,Calgary,2.4,0.011999999999999999
2014-01-04,Ottawa,1.9,0.0095
2014-01-04,Edmonton,0.41,0.0020499999999999997
2014-01-04,Quebec City,1.43,0.007149999999999999
2014-01-04,Winnipeg,1.77,0.00885
2014-01-04,Hamilton,2.06,0.0103
2014-01-04,Halifax,0.66,0.0033
2014-01-05,Toronto,2.22,0.0111
2014-01-05,Vancouver,1.72,0.0086
2014-01-05,Montreal,2.48,0.0124
2014-01-05,Calgary,2.26,0.0113
2014-01-05,Ottawa,1.87,0.00935
2014-01-05,Edmonton,2.65,0.01325
2014-01-05,Quebec City,1.95,0.00975
2014-01-05,Winnipeg,2.62,0.0131
2014-01-05,Hamilton,1.76,0.0088
2014-01-05,Halifax,2.15,0.01075
2014-01-06,Toronto,0.67,0.00335
2014-01-06,Vancouver,1.85,0.009250000000000001
2014-01-06,Montreal,3.68,0.0184
2014-01-06,Calgary,3.32,0.0166
2014-01-06,Ottawa,2.65,0.01325
2014-01-06,Edmonton,2.68,0.0134
2014-01-06,Quebec City,2.75,0.013749999999999998
2014-01-06,Winnipeg,3.01,0.015049999999999997
2014-01-06,Hamilton,3.88,0.0194
2014-01-06,Halifax,1.64,0.008199999999999999
2014-01-07,Toronto,2.22,0.0111
2014-01-07,Vancouver,3.44,0.0172
2014-01-07,Montreal,1.85,0.009250000000000001
2014-01-07,Calgary,2.65,0.01325
2014-01-07,Ottawa,3.65,0.01825
2014-01-07,Edmonton,3.84,0.0192
2014-01-07,Quebec City,1.64,0.008199999999999999
2014-01-07,Winnipeg,3.26,0.0163
2014-01-07,Hamilton,3.24,0.016200000000000003
2014-01-07,Halifax,4.29,0.021450000000000004
2014-01-08,Toronto,0.61,0.0030499999999999998
2014-01-08,Vancouver,2.63,0.01315
2014-01-08,Montreal,3.96,0.019799999999999998
2014-01-08,Calgary,2.69,0.01345
2014-01-08,Ottawa,4.31,0.02155
2014-01-08,Edmonton,4.47,0.022350000000000002
2014-01-08,Quebec City,5.05,0.025249999999999998
2014-01-08,Winnipeg,1.2,0.005999999999999999
2014-01-08,Hamilton,1.69,0.00845
2014-01-08,Halifax,5.6,0.028
2014-01-09,Toronto,2.64,0.0132
2014-01-09,Vancouver,5.64,0.0282
2014-01-09,Montreal,4.16,0.020800000000000003
2014-01-09,Calgary,3.73,0.01865
2014-01-09,Ottawa,5.4,0.027000000000000003
2014-01-09,Edmonton,2.82,0.0141
2014-01-09,Quebec City,1.32,0.0066
2014-01-09,Winnipeg,1.08,0.0054
2014-01-09,Hamilton,5.95,0.029750000000000002
2014-01-09,Halifax,5.76,0.0288
2014-01-10,Toronto,3.52,0.0176
2014-01-10,Vancouver,6.02,0.030099999999999995
2014-01-10,Montreal,3.34,0.0167
2014-01-10,Calgary,0.88,0.0044
2014-01-10,Ottawa,4.57,0.022850000000000002
2014-01-10,Edmonton,6.41,0.03205
2014-01-10,Quebec City,2.55,0.01275
2014-01-10,Winnipeg,4.35,0.02175
2014-01-10,Hamilton,6.64,0.0332
2014-01-10,Halifax,5.58,0.0279
2014-01-11,Toronto,5.97,0.029849999999999998
2014-01-11,Vancouver,5.21,0.02605
2014-01-11,Montreal,4.1,0.020499999999999997
2014-01-11,Calgary,1.99,0.00995
2014-01-11,Ottawa,2.49,0.01245
2014-01-11,Edmonton,6.17,0.030850000000000002
2014-01-11,Quebec City,6.76,0.0338
2014-01-11,Winnipeg,2.62,0.0131
2014-01-11,Hamilton,7.33,0.03665
2014-01-11,Halifax,6.74,0.0337
2014-01-12,Toronto,4.88,0.024399999999999998
2014-01-12,Vancouver,3.94,0.0197
