ALLSKY_SFC_SW_DWN,City
1.02,Toronto
0.55,Toronto
1.95,Toronto
1.54,Toronto
0.52,Toronto
1.28,Toronto
1.55,Toronto
1.63,Toronto
1.92,Toronto
0.79,Toronto
0.26,Toronto
1.03,Toronto
1.04,Toronto
1.85,Toronto
1.27,Toronto
1.51,Toronto
1.3,Toronto
1.39,Toronto
0.8,Toronto
1.27,Toronto
1.9,Toronto
1.81,Toronto
1.8,Toronto
1.2,Toronto
1.15,Toronto
1.19,Toronto
1.95,Toronto
1.93,Toronto
1.79,Toronto
1.9,Toronto
1.46,Toronto
0.56,Toronto
0.99,Toronto
2.4,Toronto
1.9,Toronto
0.41,Toronto
1.43,Toronto
1.77,Toronto
2.06,Toronto
0.66,Toronto
2.22,Toronto
1.72,Toronto
2.48,Toronto
2.26,Toronto
1.87,Toronto
2.65,Toronto
1.95,Toronto
2.62,Toronto
1.76,Toronto
2.15,Toronto
0.67,Toronto
1.85,Toronto
3.68,Toronto
3.32,Toronto
2.65,Toronto
2.68,Toronto
2.75,Toronto
3.01,Toronto
3.88,Toronto
1.64,Toronto
2.22,Toronto
3.44,Toronto
1.85,Toronto
2.65,Toronto
3.65,Toronto
3.84,Toronto
1.64,Toronto
3.26,Toronto
3.24,Toronto
4.29,Toronto
0.61,Toronto
2.63,Toronto
3.96,Toronto
2.69,Toronto
4.31,Toronto
4.47,Toronto
5.05,Toronto
1.2,Toronto
1.69,Toronto
5.6,Toronto
2.64,Toronto
5.64,Toronto
4.16,Toronto
3.73,Toronto
5.4,Toronto
2.82,Toronto
1.32,Toronto
1.08,Toronto
5.95,Toronto
5.76,Toronto
3.52,Toronto
6.02,Toronto
3.34,Toronto
0.88,Toronto
4.57,Toronto
6.41,Toronto
2.55,Toronto
4.35,Toronto
6.64,Toronto
5.58,Toronto
5.97,Toronto
5.21,Toronto
4.1,Toronto
1.99,Toronto
2.49,Toronto
6.17,Toronto
6.76,Toronto
2.62,Toronto
7.33,Toronto
6.74,Toronto
4.88,Toronto
3.94,Toronto
6.48,Toronto
7.44,Toronto
2.95,Toronto
3.07,Toronto
6.9,Toronto
6.39,Toronto
1.22,Toronto
1.46,Toronto
4.82,Toronto
2.85,Toronto
2.56,Toronto
6.68,Toronto
5.49,Toronto
7.76,Toronto
5.2,Toronto
5.64,Toronto
4.41,Toronto
6.2,Toronto
7.68,Toronto
4.69,Toronto
5.73,Toronto
3.59,Toronto
2.47,Toronto
4.59,Toronto
4.66,Toronto
5.84,Toronto
5.86,Toronto
3.16,Toronto
5.34,Toronto
6.24,Toronto
3.61,Toronto
7.66,Toronto
7.87,Toronto
7.24,Toronto
5.13,Toronto
4.85,Toronto
5.85,Toronto
7.16,Toronto
8.23,Toronto
7.5,Toronto
6.02,Toronto
6.18,Toronto
5.25,Toronto
5.95,Toronto
7.96,Toronto
8.57,Toronto
2.01,Toronto
6.98,Toronto
5.72,Toronto
3.82,Toronto
4.9,Toronto
4.05,Toronto
6.5,Toronto
8.42,Toronto
6.21,Toronto
5.43,Toronto
4.45,Toronto
8.24,Toronto
7.0,Toronto
8.02,Toronto
7.79,Toronto
4.68,Toronto
4.8,Toronto
3.39,Toronto
7.35,Toronto
8.04,Toronto
7.34,Toronto
6.47,Toronto
6.33,Toronto
6.12,Toronto
5.95,Toronto
4.33,Toronto
7.28,Toronto
8.31,Toronto
6.88,Toronto
4.44,Toronto
3.29,Toronto
6.12,Toronto
6.97,Toronto
7.88,Toronto
7.08,Toronto
5.06,Toronto
4.3,Toronto
6.11,Toronto
5.2,Toronto
6.39,Toronto
7.43,Toronto
2.25,Toronto
3.88,Toronto
7.03,Toronto
7.5,Toronto
4.12,Toronto
7.85,Toronto
7.12,Toronto
5.16,Toronto
6.36,Toronto
4.35,Toronto
4.79,Toronto
5.53,Toronto
6.23,Toronto
6.17,Toronto
5.65,Toronto
4.28,Toronto
4.66,Toronto
3.39,Toronto
6.42,Toronto
6.47,Toronto
5.89,Toronto
6.93,Toronto
6.94,Toronto
5.08,Toronto
3.89,Toronto
4.94,Toronto
4.24,Toronto
5.33,Toronto
2.03,Toronto
5.7,Toronto
6.22,Toronto
6.54,Toronto
3.28,Toronto
4.93,Toronto
4.75,Toronto
2.84,Toronto
5.5,Toronto
6.54,Toronto
5.68,Toronto
5.49,Toronto
6.47,Toronto
5.46,Toronto
4.95,Toronto
3.96,Toronto
4.04,Toronto
1.93,Toronto
5.67,Toronto
5.75,Toronto
4.25,Toronto
3.25,Toronto
6.3,Toronto
5.93,Toronto
3.44,Toronto
2.69,Toronto
2.58,Toronto
3.38,Toronto
2.32,Toronto
3.54,Toronto
2.63,Toronto
5.17,Toronto
5.24,Toronto
3.54,Toronto
5.14,Toronto
4.43,Toronto
4.19,Toronto
3.13,Toronto
5.2,Toronto
5.24,Toronto
5.1,Toronto
5.14,Toronto
4.91,Toronto
4.36,Toronto
4.57,Toronto
1.48,Toronto
1.12,Toronto
2.74,Toronto
2.5,Toronto
2.73,Toronto
2.75,Toronto
2.99,Toronto
3.07,Toronto
2.87,Toronto
4.05,Toronto
3.75,Toronto
3.98,Toronto
4.51,Toronto
1.29,Toronto
1.99,Toronto
1.06,Toronto
2.32,Toronto
1.48,Toronto
1.69,Toronto
3.02,Toronto
1.21,Toronto
0.62,Toronto
2.85,Toronto
3.81,Toronto
3.4,Toronto
1.82,Toronto
1.4,Toronto
2.82,Toronto
1.57,Toronto
1.82,Toronto
1.96,Toronto
0.78,Toronto
1.17,Toronto
3.43,Toronto
2.29,Toronto
0.58,Toronto
1.86,Toronto
1.13,Toronto
2.02,Toronto
0.69,Toronto
1.6,Toronto
1.91,Toronto
2.72,Toronto
1.12,Toronto
1.24,Toronto
1.98,Toronto
2.11,Toronto
0.77,Toronto
0.74,Toronto
2.42,Toronto
1.13,Toronto
1.92,Toronto
1.85,Toronto
0.4,Toronto
0.81,Toronto
1.02,Toronto
0.53,Toronto
0.51,Toronto
1.4,Toronto
1.19,Toronto
1.35,Toronto
0.89,Toronto
1.69,Toronto
1.16,Toronto
0.72,Toronto
2.02,Toronto
1.2,Toronto
1.37,Toronto
2.26,Toronto
1.32,Toronto
0.75,Toronto
1.51,Toronto
0.32,Toronto
1.5,Toronto
0.65,Toronto
0.8,Toronto
0.88,Toronto
0.5,Toronto
0.81,Toronto
0.8,Toronto
1.43,Toronto
1.98,Toronto
1.65,Toronto
1.63,Toronto
0.79,Toronto
0.34,Toronto
0.86,Toronto
1.65,Toronto
1.31,Toronto
1.09,Toronto
1.05,Toronto
1.27,Toronto
1.77,Toronto
0.74,Toronto
1.84,Toronto
0.41,Toronto
0.72,Toronto
1.6,Toronto
1.45,Toronto
1.56,Toronto
1.19,Toronto
1.62,Toronto
1.77,Toronto
1.41,Toronto
0.83,Toronto
2.06,Toronto
2.14,Toronto
1.63,Toronto
2.29,Toronto
1.44,Toronto
0.93,Toronto
1.7,Toronto
2.51,Toronto
1.5,Toronto
2.57,Toronto
2.51,Toronto
0.64,Toronto
2.86,Toronto
1.8,Toronto
2.26,Toronto
2.9,Toronto
0.29,Toronto
2.64,Toronto
1.82,Toronto
0.72,Toronto
1.65,Toronto
1.99,Toronto
0.47,Toronto
2.95,Toronto
2.17,Toronto
0.68,Toronto
0.38,Toronto
1.12,Toronto
2.09,Toronto
1.22,Toronto
3.16,Toronto
2.58,Toronto
1.59,Toronto
2.43,Toronto
3.13,Toronto
2.52,Toronto
1.97,Toronto
3.11,Toronto
2.91,Toronto
0.82,Toronto
1.78,Toronto
2.7,Toronto
2.62,Toronto
3.47,Toronto
2.73,Toronto
3.7,Toronto
3.39,Toronto
1.71,Toronto
2.82,Toronto
0.56,Toronto
2.1,Toronto
3.3,Toronto
3.73,Toronto
2.12,Toronto
3.69,Toronto
4.83,Toronto
1.83,Toronto
4.83,Toronto
5.15,Toronto
3.91,Toronto
1.58,Toronto
3.66,Toronto
2.66,Toronto
5.21,Toronto
4.78,Toronto
5.52,Toronto
5.08,Toronto
3.54,Toronto
5.79,Toronto
5.99,Toronto
6.08,Toronto
1.05,Toronto
1.58,Toronto
3.6,Toronto
6.4,Toronto
6.16,Toronto
3.32,Toronto
4.69,Toronto
6.14,Toronto
3.62,Toronto
3.67,Toronto
5.38,Toronto
2.54,Toronto
4.46,Toronto
3.63,Toronto
0.71,Toronto
1.32,Toronto
3.07,Toronto
5.03,Toronto
6.68,Toronto
5.07,Toronto
6.06,Toronto
7.05,Toronto
5.39,Toronto
6.21,Toronto
6.93,Toronto
6.11,Toronto
2.38,Toronto
4.58,Toronto
3.19,Toronto
2.89,Toronto
5.66,Toronto
7.51,Toronto
5.87,Toronto
3.7,Toronto
7.11,Toronto
6.84,Toronto
5.59,Toronto
5.75,Toronto
7.26,Toronto
6.6,Toronto
3.48,Toronto
3.66,Toronto
7.12,Toronto
7.43,Toronto
6.79,Toronto
5.95,Toronto
4.85,Toronto
4.83,Toronto
3.09,Toronto
4.42,Toronto
8.05,Toronto
2.6,Toronto
5.51,Toronto
7.06,Toronto
5.66,Toronto
4.8,Toronto
8.24,Toronto
7.49,Toronto
7.54,Toronto
8.41,Toronto
6.55,Toronto
5.09,Toronto
6.69,Toronto
6.06,Toronto
7.83,Toronto
5.89,Toronto
5.35,Toronto
1.8,Toronto
4.14,Toronto
8.28,Toronto
8.43,Toronto
6.95,Toronto
4.87,Toronto
8.64,Toronto
6.74,Toronto
2.83,Toronto
4.47,Toronto
5.55,Toronto
6.84,Toronto
2.71,Toronto
6.12,Toronto
2.4,Toronto
4.85,Toronto
7.31,Toronto
7.26,Toronto
6.37,Toronto
6.61,Toronto
7.01,Toronto
6.61,Toronto
7.07,Toronto
6.86,Toronto
8.03,Toronto
5.17,Toronto
7.5,Toronto
1.23,Toronto
2.37,Toronto
7.31,Toronto
2.97,Toronto
5.23,Toronto
7.55,Toronto
7.65,Toronto
7.28,Toronto
6.6,Toronto
6.78,Toronto
3.47,Toronto
6.17,Toronto
4.27,Toronto
7.4,Toronto
7.66,Toronto
6.2,Toronto
7.13,Toronto
3.0,Toronto
7.74,Toronto
7.95,Toronto
1.91,Toronto
6.42,Toronto
6.09,Toronto
6.39,Toronto
7.54,Toronto
7.47,Toronto
7.52,Toronto
7.11,Toronto
5.58,Toronto
6.86,Toronto
7.43,Toronto
7.3,Toronto
6.63,Toronto
7.39,Toronto
6.79,Toronto
6.55,Toronto
6.42,Toronto
6.3,Toronto
5.38,Toronto
6.34,Toronto
6.36,Toronto
6.82,Toronto
3.92,Toronto
7.26,Toronto
2.54,Toronto
6.1,Toronto
5.97,Toronto
6.35,Toronto
2.74,Toronto
6.23,Toronto
6.65,Toronto
6.25,Toronto
2.87,Toronto
5.73,Toronto
3.42,Toronto
4.55,Toronto
6.8,Toronto
6.41,Toronto
4.98,Toronto
3.86,Toronto
3.09,Toronto
3.56,Toronto
5.82,Toronto
3.22,Toronto
4.52,Toronto
5.44,Toronto
5.11,Toronto
4.92,Toronto
4.79,Toronto
5.38,Toronto
5.4,Toronto
5.19,Toronto
5.27,Toronto
3.85,Toronto
2.83,Toronto
5.39,Toronto
3.62,Toronto
1.46,Toronto
1.4,Toronto
5.84,Toronto
5.65,Toronto
5.58,Toronto
5.56,Toronto
3.49,Toronto
1.86,Toronto
5.08,Toronto
4.73,Toronto
4.97,Toronto
5.17,Toronto
4.68,Toronto
4.3,Toronto
4.36,Toronto
4.23,Toronto
1.67,Toronto
1.04,Toronto
3.65,Toronto
4.8,Toronto
2.94,Toronto
1.74,Toronto
2.79,Toronto
1.68,Toronto
1.71,Toronto
3.18,Toronto
3.81,Toronto
1.76,Toronto
4.14,Toronto
4.22,Toronto
4.12,Toronto
2.39,Toronto
2.27,Toronto
3.09,Toronto
2.82,Toronto
2.98,Toronto
2.64,Toronto
3.46,Toronto
1.6,Toronto
1.43,Toronto
3.36,Toronto
3.98,Toronto
0.8,Toronto
2.76,Toronto
3.29,Toronto
2.45,Toronto
0.63,Toronto
2.21,Toronto
3.02,Toronto
1.46,Toronto
2.38,Toronto
3.12,Toronto
3.14,Toronto
2.78,Toronto
2.1,Toronto
1.48,Toronto
2.11,Toronto
3.01,Toronto
3.12,Toronto
0.8,Toronto
1.53,Toronto
