Date,City,Solar Irradiance (W/m²)
2014-01-01,Toronto,1.02
2014-01-01,Vancouver,0.55
2014-01-01,Montreal,1.95
2014-01-01,Calgary,1.54
2014-01-01,Ottawa,0.52
2014-01-01,Edmonton,1.28
2014-01-01,Quebec City,1.55
2014-01-01,Winnipeg,1.63
2014-01-01,Hamilton,1.92
2014-01-01,Halifax,0.79
2014-01-02,Toronto,0.26
2014-01-02,Vancouver,1.03
2014-01-02,Montreal,1.04
2014-01-02,Calgary,1.85
2014-01-02,Ottawa,1.27
2014-01-02,Edmonton,1.51
2014-01-02,Quebec City,1.3
2014-01-02,Winnipeg,1.39
2014-01-02,Hamilton,0.8
2014-01-02,Halifax,1.27
2014-01-03,Toronto,1.9
2014-01-03,Vancouver,1.81
2014-01-03,Montreal,1.8
2014-01-03,Calgary,1.2
2014-01-03,Ottawa,1.15
2014-01-03,Edmonton,1.19
2014-01-03,Quebec City,1.95
2014-01-03,Winnipeg,1.93
2014-01-03,Hamilton,1.79
2014-01-03,Halifax,1.9
2014-01-04,Toronto,1.46
2014-01-04,Vancouver,0.56
2014-01-04,Montreal,0.99
2014-01-04,Calgary,2.4
2014-01-04,Ottawa,1.9
2014-01-04,Edmonton,0.41
2014-01-04,Quebec City,1.43
2014-01-04,Winnipeg,1.77
2014-01-04,Hamilton,2.06
2014-01-04,Halifax,0.66
2014-01-05,Toronto,2.22
2014-01-05,Vancouver,1.72
2014-01-05,Montreal,2.48
2014-01-05,Calgary,2.26
2014-01-05,Ottawa,1.87
2014-01-05,Edmonton,2.65
2014-01-05,Quebec City,1.95
2014-01-05,Winnipeg,2.62
2014-01-05,Hamilton,1.76
2014-01-05,Halifax,2.15
2014-01-06,Toronto,0.67
2014-01-06,Vancouver,1.85
2014-01-06,Montreal,3.68
2014-01-06,Calgary,3.32
2014-01-06,Ottawa,2.65
2014-01-06,Edmonton,2.68
2014-01-06,Quebec City,2.75
2014-01-06,Winnipeg,3.01
2014-01-06,Hamilton,3.88
2014-01-06,Halifax,1.64
2014-01-07,Toronto,2.22
2014-01-07,Vancouver,3.44
2014-01-07,Montreal,1.85
2014-01-07,Calgary,2.65
2014-01-07,Ottawa,3.65
2014-01-07,Edmonton,3.84
2014-01-07,Quebec City,1.64
2014-01-07,Winnipeg,3.26
2014-01-07,Hamilton,3.24
2014-01-07,Halifax,4.29
2014-01-08,Toronto,0.61
2014-01-08,Vancouver,2.63
2014-01-08,Montreal,3.96
2014-01-08,Calgary,2.69
2014-01-08,Ottawa,4.31
2014-01-08,Edmonton,4.47
2014-01-08,Quebec City,5.05
2014-01-08,Winnipeg,1.2
2014-01-08,Hamilton,1.69
2014-01-08,Halifax,5.6
2014-01-09,Toronto,2.64
2014-01-09,Vancouver,5.64
2014-01-09,Montreal,4.16
2014-01-09,Calgary,3.73
2014-01-09,Ottawa,5.4
2014-01-09,Edmonton,2.82
2014-01-09,Quebec City,1.32
2014-01-09,Winnipeg,1.08
2014-01-09,Hamilton,5.95
2014-01-09,Halifax,5.76
2014-01-10,Toronto,3.52
2014-01-10,Vancouver,6.02
2014-01-10,Montreal,3.34
2014-01-10,Calgary,0.88
2014-01-10,Ottawa,4.57
2014-01-10,Edmonton,6.41
2014-01-10,Quebec City,2.55
2014-01-10,Winnipeg,4.35
2014-01-10,Hamilton,6.64
2014-01-10,Halifax,5.58
2014-01-11,Toronto,5.97
2014-01-11,Vancouver,5.21
2014-01-11,Montreal,4.1
2014-01-11,Calgary,1.99
2014-01-11,Ottawa,2.49
2014-01-11,Edmonton,6.17
2014-01-11,Quebec City,6.76
2014-01-11,Winnipeg,2.62
2014-01-11,Hamilton,7.33
2014-01-11,Halifax,6.74
2014-01-12,Toronto,4.88
2014-01-12,Vancouver,3.94
2014-01-12,Montreal,6.48
2014-01-12,Calgary,7.44
2014-01-12,Ottawa,2.95
2014-01-12,Edmonton,3.07
2014-01-12,Quebec City,6.9
2014-01-12,Winnipeg,6.39
2014-01-12,Hamilton,1.22
2014-01-12,Halifax,1.46
2014-01-13,Toronto,4.82
2014-01-13,Vancouver,2.85
2014-01-13,Montreal,2.56
2014-01-13,Calgary,6.68
2014-01-13,Ottawa,5.49
2014-01-13,Edmonton,7.76
2014-01-13,Quebec City,5.2
2014-01-13,Winnipeg,5.64
2014-01-13,Hamilton,4.41
2014-01-13,Halifax,6.2
2014-01-14,Toronto,7.68
2014-01-14,Vancouver,4.69
2014-01-14,Montreal,5.73
2014-01-14,Calgary,3.59
2014-01-14,Ottawa,2.47
2014-01-14,Edmonton,4.59
2014-01-14,Quebec City,4.66
2014-01-14,Winnipeg,5.84
2014-01-14,Hamilton,5.86
2014-01-14,Halifax,3.16
2014-01-15,Toronto,5.34
2014-01-15,Vancouver,6.24
2014-01-15,Montreal,3.61
2014-01-15,Calgary,7.66
2014-01-15,Ottawa,7.87
2014-01-15,Edmonton,7.24
2014-01-15,Quebec City,5.13
2014-01-15,Winnipeg,4.85
2014-01-15,Hamilton,5.85
2014-01-15,Halifax,7.16
2014-01-16,Toronto,8.23
2014-01-16,Vancouver,7.5
2014-01-16,Montreal,6.02
2014-01-16,Calgary,6.18
2014-01-16,Ottawa,5.25
2014-01-16,Edmonton,5.95
2014-01-16,Quebec City,7.96
2014-01-16,Winnipeg,8.57
2014-01-16,Hamilton,2.01
2014-01-16,Halifax,6.98
2014-01-17,Toronto,5.72
2014-01-17,Vancouver,3.82
2014-01-17,Montreal,4.9
2014-01-17,Calgary,4.05
2014-01-17,Ottawa,6.5
2014-01-17,Edmonton,8.42
2014-01-17,Quebec City,6.21
2014-01-17,Winnipeg,5.43
2014-01-17,Hamilton,4.45
2014-01-17,Halifax,8.24
2014-01-18,Toronto,7.0
2014-01-18,Vancouver,8.02
2014-01-18,Montreal,7.79
2014-01-18,Calgary,4.68
2014-01-18,Ottawa,4.8
2014-01-18,Edmonton,3.39
2014-01-18,Quebec City,7.35
2014-01-18,Winnipeg,8.04
2014-01-18,Hamilton,7.34
2014-01-18,Halifax,6.47
2014-01-19,Toronto,6.33
2014-01-19,Vancouver,6.12
2014-01-19,Montreal,5.95
2014-01-19,Calgary,4.33
2014-01-19,Ottawa,7.28
2014-01-19,Edmonton,8.31
2014-01-19,Quebec City,6.88
2014-01-19,Winnipeg,4.44
2014-01-19,Hamilton,3.29
2014-01-19,Halifax,6.12
2014-01-20,Toronto,6.97
2014-01-20,Vancouver,7.88
2014-01-20,Montreal,7.08
2014-01-20,Calgary,5.06
2014-01-20,Ottawa,4.3
2014-01-20,Edmonton,6.11
2014-01-20,Quebec City,5.2
2014-01-20,Winnipeg,6.39
2014-01-20,Hamilton,7.43
2014-01-20,Halifax,2.25
2014-01-21,Toronto,3.88
2014-01-21,Vancouver,7.03
2014-01-21,Montreal,7.5
2014-01-21,Calgary,4.12
2014-01-21,Ottawa,7.85
2014-01-21,Edmonton,7.12
2014-01-21,Quebec City,5.16
2014-01-21,Winnipeg,6.36
2014-01-21,Hamilton,4.35
2014-01-21,Halifax,4.79
2014-01-22,Toronto,5.53
2014-01-22,Vancouver,6.23
2014-01-22,Montreal,6.17
2014-01-22,Calgary,5.65
2014-01-22,Ottawa,4.28
2014-01-22,Edmonton,4.66
2014-01-22,Quebec City,3.39
2014-01-22,Winnipeg,6.42
2014-01-22,Hamilton,6.47
2014-01-22,Halifax,5.89
2014-01-23,Toronto,6.93
2014-01-23,Vancouver,6.94
2014-01-23,Montreal,5.08
2014-01-23,Calgary,3.89
2014-01-23,Ottawa,4.94
2014-01-23,Edmonton,4.24
2014-01-23,Quebec City,5.33
2014-01-23,Winnipeg,2.03
2014-01-23,Hamilton,5.7
2014-01-23,Halifax,6.22
2014-01-24,Toronto,6.54
2014-01-24,Vancouver,3.28
2014-01-24,Montreal,4.93
2014-01-24,Calgary,4.75
2014-01-24,Ottawa,2.84
2014-01-24,Edmonton,5.5
2014-01-24,Quebec City,6.54
2014-01-24,Winnipeg,5.68
2014-01-24,Hamilton,5.49
2014-01-24,Halifax,6.47
2014-01-25,Toronto,5.46
2014-01-25,Vancouver,4.95
2014-01-25,Montreal,3.96
2014-01-25,Calgary,4.04
2014-01-25,Ottawa,1.93
2014-01-25,Edmonton,5.67
2014-01-25,Quebec City,5.75
2014-01-25,Winnipeg,4.25
2014-01-25,Hamilton,3.25
2014-01-25,Halifax,6.3
2014-01-26,Toronto,5.93
2014-01-26,Vancouver,3.44
2014-01-26,Montreal,2.69
2014-01-26,Calgary,2.58
2014-01-26,Ottawa,3.38
